Header_시,Header_구,Header_동,Header_Timestamp,Header_단지명,Header_평형,target,Static__준공구분,Static__세대수구분,Static__평수구분,Static__건설사등급,Static__초품아여부,Static__역세권수,Static__호재수,depth1__ecos__base_rate,depth1__ecos__cd_91d_rate,depth1__ecos__cpi_housing,depth1__ecos__m2_avg,depth1__ecos__mortgage_rate_new,depth1__ecos__unemployment_rate,depth2__reb__apt_sale_supply_demand,depth2__reb__apt_jeonse_supply_demand,depth2__reb__apt_monthly_rent_supply_demand,depth3__reb__apt_sale_index,depth3__reb__apt_jeonse_index,depth3__policy__ltv_tightness,depth3__policy__dsr_severity,depth3__policy__is_speculative,depth3__policy__is_overheated,depth3__policy__is_regulated
서울특별시,중구,만리동2가,2026-05-01,서울역한라비발디센트럴,84.97,172500.0,준신축,소단지,중형,소형,초품아,7,1,2.5,2.82,118.53,4143515.8,4.31,2.9,,,,104.994321,103.005638,1,1,0,1,1
서울특별시,중구,만리동2가,2026-04-01,서울역한라비발디센트럴,84.97,172500.0,준신축,소단지,중형,소형,초품아,7,1,2.5,2.82,118.24,4143515.8,4.31,2.9,103.323699421965,107.947976878613,110.549132947977,102.991526,102.243052,1,1,0,1,1
서울특별시,중구,만리동2가,2026-03-01,서울역한라비발디센트럴,84.97,170000.0,준신축,소단지,중형,소형,초품아,7,1,2.5,2.82,118.05,4143515.8,4.34,3.0,102.890173410405,105.491329479769,109.682080924855,102.474177,101.717687,1,1,0,1,1
서울특별시,중구,만리동2가,2026-02-01,서울역한라비발디센트럴,84.97,160000.0,준신축,소단지,중형,소형,초품아,7,1,2.5,2.78,117.83,4111822.7,4.32,3.4,103.034682080925,103.034682080925,107.658959537572,101.119134,100.403985,1,1,0,1,1
서울특별시,중구,만리동2가,2026-01-01,서울역한라비발디센트럴,84.97,160000.0,준신축,소단지,중형,소형,초품아,7,1,2.5,2.7,117.36,4105513.1,4.29,4.1,105.491329479769,102.312138728324,107.514450867052,100.0,100.0,1,1,0,1,1
서울특별시,중구,만리동2가,2025-12-01,서울역한라비발디센트럴,84.97,160000.0,준신축,소단지,중형,소형,초품아,7,1,2.5,2.84,117.12,4089671.2,4.23,4.1,105.202312138728,103.757225433526,107.514450867052,99.323667,99.72104,1,1,0,1,1
서울특별시,중구,만리동2가,2025-11-01,서울역한라비발디센트럴,84.97,160000.0,준신축,소단지,중형,소형,초품아,7,1,2.5,2.69,116.89,4066699.3,4.17,2.2,105.057803468208,103.612716763006,107.225433526012,97.345089,99.330792,1,1,0,1,1
서울특별시,중구,만리동2가,2025-10-01,서울역한라비발디센트럴,84.97,160000.0,준신축,소단지,중형,소형,초품아,7,1,2.5,2.55,116.94,4056854.5,3.98,2.2,111.849710982659,104.913294797688,107.080924855491,94.781664,98.695408,1,1,0,1,1
서울특별시,중구,만리동2가,2025-09-01,서울역한라비발디센트럴,84.97,155000.0,준신축,소단지,중형,소형,초품아,7,1,2.5,2.56,116.71,4055458.9,3.96,2.1,108.236994219653,103.612716763006,104.335260115607,93.145007,98.04882,-1,1,0,0,0
서울특별시,중구,만리동2가,2025-08-01,서울역한라비발디센트럴,84.97,155000.0,준신축,소단지,중형,소형,초품아,7,1,2.5,2.51,115.37,4031011.4,3.96,2.0,102.167630057803,101.156069364162,101.734104046243,91.728017,97.842905,-1,1,0,0,0
서울특별시,중구,만리동2가,2025-07-01,서울역한라비발디센트럴,84.97,155000.0,준신축,소단지,중형,소형,초품아,7,1,2.5,2.51,115.16,3993116.2,3.96,2.4,103.901734104046,101.878612716763,102.456647398844,91.44692,97.523542,-1,1,0,0,0
서울특별시,중구,만리동2가,2025-06-01,서울역한라비발디센트럴,84.97,155000.0,준신축,소단지,중형,소형,초품아,7,1,2.5,2.57,116.56,3972892.3,3.93,2.8,107.514450867052,103.034682080925,104.335260115607,90.310799,97.457835,-1,1,0,0,0
서울특별시,중구,만리동2가,2025-05-01,서울역한라비발디센트럴,84.97,155000.0,준신축,소단지,중형,소형,초품아,7,1,2.5,2.67,116.47,3955366.9,3.87,2.8,103.179190751445,101.734104046243,102.890173410405,89.010711,96.559049,-1,1,0,0,0
서울특별시,중구,만리동2가,2025-04-01,서울역한라비발디센트럴,84.97,155000.0,준신축,소단지,중형,소형,초품아,7,1,2.75,2.74,116.24,3935845.0,3.98,2.9,103.034682080925,100.867052023121,102.745664739884,88.843792,96.213523,-1,1,0,0,0
서울특별시,중구,만리동2가,2025-03-01,서울역한라비발디센트럴,84.97,155000.0,준신축,소단지,중형,소형,초품아,7,1,2.75,2.84,116.25,3924087.0,4.17,3.1,103.382352941176,101.617647058824,102.794117647059,88.039288,95.4253,-1,1,0,0,0
서울특별시,중구,만리동2가,2025-02-01,서울역한라비발디센트럴,84.97,155000.0,준신축,소단지,중형,소형,초품아,7,1,2.75,2.95,116.47,3920448.5,4.23,3.2,101.323529411765,100.294117647059,102.5,87.916539,95.334817,-1,1,0,0,0
서울특별시,중구,만리동2가,2025-01-01,서울역한라비발디센트럴,84.97,155000.0,준신축,소단지,중형,소형,초품아,7,1,3.0,3.04,115.87,3921714.4,4.27,3.7,100.147058823529,99.4117647058823,101.764705882353,87.859599,95.327299,-1,1,0,0,0
